"","Zeitstempel","ID","I.see.myself.as.someone.who....is.talkative","....tends.to.find.fault.with.others","....does.a.thorough.job","....is.depressed..blue","....is.original..comes.up.with.new.ideas","....is.reserved","....is.helpful.and.unselfish.with.others","....can.be.somewhat.careless","....is.relaxed..handles.stress.well","....is.curious.about.many.different.things","....is.full.of.energy","....starts.quarrels.with.others","....is.a.reliable.worker","....can.be.tense","....is.ingenious..a.deep.thinker","....generates.a.lot.of.enthusiasm","....has.a.forgiving.nature","....tends.to.be.disorganized","....worries.a.lot","....has.an.active.imagination","....tends.to.be.quiet","....is.generally.trusting","....tends.to.be.lazy","....is.emotionally.stable..not.easily.upset","....is.inventive","....has.an.assertive.personality","....can.be.cold.and.aloof..unapproachable.","....perseveres.until.the.task.is.finished","....can.be.moody","....values.artistic..aesthetic.experiences","....is.sometimes.shy..inhibited","....is.considerate.and.kind.to.almost.everyone","....does.things.efficiently","....remains.calm.in.tense.situations","....prefers.work.that.is.routine","....is.outgoing..sociable","....is.sometimes.rude.to.others","....makes.plans.and.follows.through.with.them","....gets.nervous.easily","....likes.to.reflect..play.with.ideas","....has.few.artistic.interests","....likes.to.cooperate.with.others","....is.easily.distracted","....is.sophisticated.in.art..music..or.literature","Feedback.1","Feedback.2","Feedback.3","Feedback.4","Feedback.5","Feedback.6","Feedback.7","Feedback.8","Feedback.9","Feedback.10","Feedback.11","Feedback.12","Feedback.13"
"13","2018/09/11 10:52:22 AM MEZ","3_1_1",3,4,4,2,4,3,4,4,4,5,5,4,5,4,5,3,5,1,3,4,4,5,3,3,4,4,4,5,3,2,3,4,5,4,5,4,5,5,4,4,5,4,4,1,2,1,5,1,2,2,1,7,1,2,7,2,1
"14","2018/09/11 10:52:41 AM MEZ","3_1_2",5,4,3,1,4,1,5,1,4,3,5,5,3,3,5,5,5,2,1,4,1,5,1,5,3,5,1,3,2,4,1,5,3,3,4,5,2,5,2,5,3,4,3,3,6,4,6,6,6,7,7,3,1,4,1,1,7
"15","2018/09/11 10:57:52 AM MEZ","3_2_1",3,4,3,1,4,2,3,3,1,5,3,3,5,4,4,3,4,5,3,4,2,5,4,1,3,3,4,4,4,5,3,4,2,1,2,3,1,3,3,5,5,4,4,4,5,2,3,3,3,2,6,5,1,2,1,1,7
"16","2018/09/11 12:52:59 PM MEZ","3_4_1",5,1,3,1,4,2,5,4,2,5,5,1,5,1,3,5,5,3,3,4,3,5,2,3,4,4,1,3,1,5,1,5,5,3,1,4,1,4,1,4,4,5,4,5,4,1,5,5,6,3,4,1,1,4,5,1,1
"17","2018/09/11 12:54:14 PM MEZ","3_4_2",4,2,5,1,4,1,5,2,4,4,4,1,5,1,3,4,5,2,2,3,3,3,3,5,4,4,1,4,1,4,2,5,4,4,3,5,2,4,4,4,4,4,3,2,1,1,3,1,4,4,2,2,1,4,7,1,2
"18","2018/09/11 12:54:31 PM MEZ","3_3_1",2,3,3,3,3,3,3,2,1,4,3,3,3,3,3,3,3,3,3,4,3,2,4,2,2,2,3,2,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,5,3,3,4,5,6,6,1,4,1,7,6
"19","2018/09/11 12:54:56 PM MEZ","3_3_2",4,3,3,2,3,2,4,3,3,4,3,1,4,3,3,3,4,4,3,3,3,4,3,3,3,3,2,3,3,4,3,4,3,3,3,3,2,3,2,3,2,4,3,3,4,4,2,3,3,5,6,5,2,4,5,3,6
"20","2018/09/11 1:01:08 PM MEZ","3_5_2",5,2,3,2,4,1,3,4,3,4,5,1,4,2,4,5,3,3,3,4,2,4,5,3,3,3,1,2,4,4,2,4,2,3,2,5,2,2,3,5,3,4,5,2,5,1,2,2,3,1,4,3,1,4,2,2,5
"21","2018/09/11 1:03:25 PM MEZ","3_5_1",3,4,3,4,5,4,4,5,4,4,2,1,4,3,5,4,5,1,4,4,5,5,3,4,2,3,4,3,4,3,4,4,2,4,4,4,2,4,4,5,4,5,5,4,3,2,5,3,2,2,5,2,1,5,5,2,3
"22","2018/09/11 2:56:57 PM MEZ","3_7_2",3,4,4,2,3,3,4,2,2,3,3,1,4,4,3,3,4,2,4,5,3,4,3,2,2,4,3,2,4,5,4,3,3,2,4,3,3,5,4,3,1,2,4,4,1,2,2,3,2,2,2,3,5,4,6,5,3
"23","2018/09/11 2:58:15 PM MEZ","3_7_1",1,2,4,3,1,5,4,1,3,3,1,2,4,3,4,1,4,3,5,1,5,5,5,3,1,2,2,5,2,3,5,4,5,2,1,1,4,2,2,4,4,2,3,2,1,1,6,7,4,2,5,6,1,4,7,1,3
"24","2018/09/11 2:58:47 PM MEZ","3_6_2",3,2,3,2,4,5,4,2,2,4,3,3,5,3,5,3,2,3,2,5,5,5,3,4,4,4,2,4,2,4,3,5,4,3,2,3,1,3,2,5,4,5,3,4,4,5,3,2,1,2,2,1,1,3,3,1,3
"25","2018/09/11 3:00:03 PM MEZ","3_6_1",3,2,4,2,3,2,4,3,4,5,3,1,5,2,2,3,5,3,5,4,3,5,2,4,4,3,1,4,2,4,3,5,5,4,1,5,1,4,2,5,2,5,3,3,3,2,1,2,1,1,3,2,1,4,3,1,3
"26","2018/09/14 9:46:30 AM MEZ","3_8_1",4,3,4,2,2,1,5,2,3,4,3,1,4,3,3,3,2,3,4,3,3,5,2,3,2,2,1,4,3,4,3,5,4,4,3,4,1,2,2,3,4,4,3,3,1,1,2,4,3,1,2,3,1,3,2,1,3
"27","2018/09/14 9:48:12 AM MEZ","3_8_2",4,2,5,1,4,1,4,3,5,5,4,1,5,2,3,4,2,2,2,5,2,4,2,5,3,4,2,5,3,4,2,5,4,5,4,5,2,4,2,5,5,4,2,3,1,1,2,1,1,1,3,2,1,4,5,2,4
"28","2018/09/14 9:48:57 AM MEZ","3_9_2",3,3,5,1,2,2,5,1,3,4,3,3,5,2,2,3,4,1,4,3,3,4,1,2,3,3,1,5,2,4,2,5,4,2,4,5,1,5,3,4,1,5,5,2,3,5,6,4,4,4,4,2,1,4,4,1,3
"29","2018/09/14 9:50:12 AM MEZ","3_9_1",4,3,4,1,3,2,4,2,3,5,4,3,4,3,5,4,4,3,4,4,3,5,2,4,3,3,1,4,3,4,3,4,4,4,4,4,1,5,4,4,1,5,4,3,1,1,3,3,2,2,4,1,1,4,4,1,4
"30","2018/09/14 10:58:31 AM MEZ","3_10_2",3,2,5,3,4,4,5,4,4,5,3,1,4,3,5,3,4,4,4,5,4,5,4,4,5,4,3,4,2,5,3,5,5,5,2,4,1,4,2,5,2,5,3,4,1,1,5,2,1,1,2,1,1,4,7,1,5
"31","2018/09/14 11:02:43 AM MEZ","3_10_1",4,3,4,4,4,2,3,1,2,4,3,3,5,4,3,2,5,3,5,4,1,5,3,1,4,4,2,5,2,5,2,3,3,2,2,4,4,5,4,5,4,4,5,3,5,3,4,3,2,3,5,3,3,4,6,2,4
"32","2018/09/14 11:52:55 AM MEZ","3_11_2",4,2,3,4,4,2,4,4,5,5,2,2,2,1,4,4,5,5,3,3,2,5,4,4,3,3,3,3,4,5,2,4,4,4,2,4,4,2,1,4,3,4,4,5,4,1,2,2,2,2,3,2,1,4,2,3,4
"33","2018/09/14 11:53:59 AM MEZ","3_11_1",4,4,2,4,4,5,3,4,5,5,3,2,2,1,4,5,5,5,3,4,5,5,5,2,4,4,1,4,4,5,5,4,5,5,3,3,4,3,2,4,1,5,5,3,1,1,1,1,1,1,2,4,1,3,7,4,3
"34","2018/09/14 1:49:04 PM MEZ","3_12_2",4,2,5,1,4,1,5,4,4,5,5,3,5,2,5,5,2,1,1,5,1,5,4,5,3,2,1,5,2,4,1,5,5,4,5,5,2,5,2,5,2,4,2,2,1,1,5,4,1,3,4,2,1,4,7,1,5
"35","2018/09/14 1:49:49 PM MEZ","3_12_1",5,2,5,2,5,2,3,3,2,5,4,2,5,3,5,5,5,1,4,5,2,4,3,2,4,4,1,2,3,5,2,4,4,3,3,4,2,3,2,5,5,3,2,5,2,1,4,1,1,2,1,2,1,4,6,2,4
"36","2018/09/14 2:55:20 PM MEZ","3_13_2",3,4,5,1,4,4,4,4,4,5,5,3,5,4,5,3,3,1,4,3,4,5,3,5,4,3,2,3,2,4,4,5,5,4,3,3,3,5,4,4,3,3,3,1,3,3,3,2,3,3,3,4,3,3,7,4,4
"37","2018/09/14 2:55:20 PM MEZ","3_13_1",3,2,4,1,3,4,5,3,2,4,3,3,5,2,5,3,5,2,4,3,4,4,4,4,3,3,4,5,4,4,4,5,4,3,4,4,1,3,5,4,3,3,3,3,2,2,2,2,3,4,5,2,1,4,4,6,6
