"","Timestamp","ID","I see myself as someone who.... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8"
"1",2018-09-11 11:54:00,"3_2_2",5,2,4,1,3,2,3,2,3,3,5,1,4,3,3,5,3,2,2,4,2,4,2,4,2,2,3,3,3,3,3,5,5,3,3,5,2,4,2,3,1,4,2,1,4,2,4,5,1,2,6,4
"2",2018-09-11 16:04:03,"1_1_1",3,2,3,2,3,3,4,3,4,4,3,3,4,3,4,3,3,4,2,3,4,4,3,3,3,3,3,4,2,2,3,3,3,3,4,2,3,4,2,4,4,4,2,2,3,2,4,3,4,4,7,5
"3",2018-09-14 12:55:29,"1_2_2",5,3,4,2,4,3,4,2,1,5,4,1,4,2,5,4,3,2,4,5,2,5,3,3,4,4,2,3,2,5,3,5,3,3,2,4,1,3,2,5,5,4,5,4,5,1,7,7,6,6,1,1
"4",2018-09-14 14:02:10,"1_3_1",4,3,4,3,2,2,4,4,3,5,3,1,4,4,5,3,4,4,3,5,1,5,4,5,2,3,4,4,2,5,4,4,5,5,3,3,2,5,4,5,2,4,5,2,5,2,2,1,4,2,7,4
"5",2018-09-14 14:54:15,"1_4_2",3,3,4,3,2,4,3,4,4,3,3,1,5,2,2,3,5,2,2,4,3,5,3,4,3,3,4,4,2,3,4,5,4,4,5,2,2,4,5,3,2,2,4,4,1,1,4,2,5,3,3,3
"6",2018-09-18 09:53:17,"1_5_1",2,4,4,2,4,2,2,3,1,5,4,2,4,4,5,4,2,3,2,2,3,3,2,2,3,4,3,5,4,5,4,3,2,2,3,3,4,3,4,4,1,2,3,5,5,2,4,5,3,2,6,3
"7",2018-09-18 10:59:18,"1_6_2",4,3,4,2,3,2,4,2,2,4,4,1,4,2,2,4,4,3,3,4,2,5,2,4,4,4,2,5,3,5,2,5,4,3,4,4,2,4,2,5,1,5,3,3,3,3,3,3,4,7,1,7
"8",2018-09-18 13:48:20,"1_7_1",3,4,3,2,4,5,4,4,4,4,4,1,3,3,4,4,4,3,3,4,3,4,3,3,4,4,2,3,3,5,2,4,3,4,2,4,2,2,2,4,4,3,5,5,3,4,3,3,3,4,5,4
"9",2018-09-21 10:00:21,"1_8_2",5,4,3,4,3,5,5,3,2,5,2,1,5,4,5,3,2,4,4,4,2,4,4,2,2,4,4,3,4,2,4,4,3,4,4,3,1,4,4,3,2,5,4,2,3,1,4,4,3,4,6,4
"10",2018-09-21 10:53:45,"1_10_2",4,2,4,1,3,3,4,1,4,3,3,3,5,2,2,4,3,1,2,2,1,4,1,5,3,3,1,4,1,2,2,5,4,4,2,4,1,5,1,3,1,3,2,1,5,3,5,2,4,2,7,5
