"Zeitstempel","PLEASE ENTER YOUR ID NUMBER HERE!","I see myself as someone who... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8","Feedback 9","Feedback 10","Feedback 11","Feedback 12","Feedback 13"
"2018/05/29 10:15:07 AM MEZ","3_1_1","5","1","2","3","3","2","3","2","1","4","3","2","3","2","2","3","1","1","2","4","1","4","2","1","3","1","1","3","5","1","2","4","3","2","4","4","2","1","4","3","1","4","5","1","6","5","2","4","5","7","7","5","2","6","7","4","7"
"2018/05/29 10:16:18 AM MEZ","3_1_2","4","3","3","5","2","4","2","1","2","3","5","3","4","5","5","2","4","1","5","2","2","3","5","4","2","4","2","2","4","3","2","4","2","3","5","3","2","5","3","5","3","4","5","4","2","2","4","4","2","2","3","5","1","1","7","6","5"
"2018/05/29 11:32:14 AM MEZ","3_2_2","3","1","4","1","3","3","5","2","4","4","4","1","4","2","5","3","5","3","2","3","5","4","3","4","3","3","2","3","3","4","4","5","4","4","4","3","1","3","2","3","4","4","2","2","1","1","2","1","1","2","7","2","1","4","1","1","6"
"2018/05/29 11:32:16 AM MEZ","3_2_1","3","2","5","1","2","4","4","3","5","5","4","2","4","3","4","3","4","1","2","2","4","5","1","4","3","2","3","5","2","4","4","4","5","4","3","4","2","5","3","4","4","3","2","2","2","1","3","4","1","2","3","3","5","1","7","3","3"
"2018/05/29 2:02:15 PM MEZ","3_3_2","5","3","4","1","4","2","3","4","5","5","4","3","4","1","2","4","4","2","1","4","1","3","1","5","4","4","3","4","3","5","1","4","4","5","1","4","3","3","1","2","1","4","4","5","3","2","7","2","3","6","7","7","6","1","1","6","6"
"2018/05/29 2:03:56 PM MEZ","3_3_1","3","2","4","2","4","4","4","2","4","5","3","2","4","1","3","4","2","2","5","4","5","5","2","4","3","4","2","3","3","3","5","2","4","4","5","4","3","2","4","5","3","5","2","4","4","1","1","1","1","1","3","1","1","4","1","1","1"
"2018/05/29 2:51:26 PM MEZ","3_4_2","2","5","4","2","4","3","3","3","3","5","4","4","5","4","4","2","1","1","4","3","4","3","4","3","4","5","4","4","4","1","4","2","4","4","2","1","4","3","4","3","1","2","3","1","5","4","2","2","3","1","3","3","1","4","7","2","4"
"2018/05/29 2:52:28 PM MEZ","3_4_1","3","3","4","4","5","4","5","2","1","4","4","3","5","3","4","4","5","2","5","5","4","5","2","2","4","4","4","4","4","5","4","5","5","2","3","2","2","4","4","4","2","4","4","4","4","6","2","1","2","1","4","5","1","1","7","1","4"
"2018/09/04 1:51:36 PM MEZ","8","4","3","4","3","1","2","4","2","2","3","2","1","5","2","3","4","4","2","4","5","2","4","3","4","3","2","1","4","2","2","4","4","3","2","4","4","1","5","3","3","3","4","5","2","5","3","2","4","3","3","5","6","2","4","7","5","5"
"2018/09/04 1:51:45 PM MEZ","7","4","3","3","1","4","4","3","4","2","4","3","3","3","4","3","2","3","4","3","4","3","4","4","3","3","3","4","4","4","1","3","4","4","2","2","4","4","4","5","4","3","3","4","2","2","2","2","3","2","2","2","3","1","4","7","3","2"
"2018/09/04 3:58:26 PM MEZ","10","4","2","4","2","3","2","4","2","3","5","4","2","4","4","4","4","3","5","4","4","2","4","3","4","3","4","1","4","4","5","3","4","3","2","4","4","3","4","3","4","2","4","4","4","4","3","1","1","4","4","7","7","1","4","1","4","7"
"2018/09/04 4:01:12 PM MEZ","11","4","2","2","1","5","3","4","4","4","5","3","1","4","1","4","5","4","5","2","5","3","4","5","4","3","4","2","4","3","5","2","4","2","4","1","3","2","1","1","5","3","3","4","4","5","1","2","1","3","4","7","3","2","4","1","3","7"
"2018/09/11 10:52:22 AM MEZ","3_01_1","3","4","4","2","4","3","4","4","4","5","5","4","5","4","5","3","5","1","3","4","4","5","3","3","4","4","4","5","3","2","3","4","5","4","5","4","5","5","4","4","5","4","4","1","2","1","5","1","2","2","1","7","1","2","7","2","1"
"2018/09/11 10:52:41 AM MEZ","3_01_2","5","4","3","1","4","1","5","1","4","3","5","5","3","3","5","5","5","2","1","4","1","5","1","5","3","5","1","3","2","4","1","5","3","3","4","5","2","5","2","5","3","4","3","3","6","4","6","6","6","7","7","3","1","4","1","1","7"
"2018/09/11 10:57:52 AM MEZ","3_02_1","3","4","3","1","4","2","3","3","1","5","3","3","5","4","4","3","4","5","3","4","2","5","4","1","3","3","4","4","4","5","3","4","2","1","2","3","1","3","3","5","5","4","4","4","5","2","3","3","3","2","6","5","1","2","1","1","7"
"2018/09/11 12:52:59 PM MEZ","3041","5","1","3","1","4","2","5","4","2","5","5","1","5","1","3","5","5","3","3","4","3","5","2","3","4","4","1","3","1","5","1","5","5","3","1","4","1","4","1","4","4","5","4","5","4","1","5","5","6","3","4","1","1","4","5","1","1"
"2018/09/11 12:54:14 PM MEZ","3_0_4_2","4","2","5","1","4","1","5","2","4","4","4","1","5","1","3","4","5","2","2","3","3","3","3","5","4","4","1","4","1","4","2","5","4","4","3","5","2","4","4","4","4","4","3","2","1","1","3","1","4","4","2","2","1","4","7","1","2"
"2018/09/11 12:54:31 PM MEZ","3_03_1","2","3","3","3","3","3","3","2","1","4","3","3","3","3","3","3","3","3","3","4","3","2","4","2","2","2","3","2","4","4","3","3","3","3","3","3","3","3","4","4","3","4","3","4","4","5","3","3","4","5","6","6","1","4","1","7","6"
"2018/09/11 12:54:56 PM MEZ","3_03_2","4","3","3","2","3","2","4","3","3","4","3","1","4","3","3","3","4","4","3","3","3","4","3","3","3","3","2","3","3","4","3","4","3","3","3","3","2","3","2","3","2","4","3","3","4","4","2","3","3","5","6","5","2","4","5","3","6"
"2018/09/11 1:01:08 PM MEZ","3_05_2","5","2","3","2","4","1","3","4","3","4","5","1","4","2","4","5","3","3","3","4","2","4","5","3","3","3","1","2","4","4","2","4","2","3","2","5","2","2","3","5","3","4","5","2","5","1","2","2","3","1","4","3","1","4","2","2","5"
"2018/09/11 1:03:25 PM MEZ","3_05_1","3","4","3","4","5","4","4","5","4","4","2","1","4","3","5","4","5","1","4","4","5","5","3","4","2","3","4","3","4","3","4","4","2","4","4","4","2","4","4","5","4","5","5","4","3","2","5","3","2","2","5","2","1","5","5","2","3"
"2018/09/11 2:56:57 PM MEZ","3_07_2","3","4","4","2","3","3","4","2","2","3","3","1","4","4","3","3","4","2","4","5","3","4","3","2","2","4","3","2","4","5","4","3","3","2","4","3","3","5","4","3","1","2","4","4","1","2","2","3","2","2","2","3","5","4","6","5","3"
"2018/09/11 2:58:15 PM MEZ","3-07-1","1","2","4","3","1","5","4","1","3","3","1","2","4","3","4","1","4","3","5","1","5","5","5","3","1","2","2","5","2","3","5","4","5","2","1","1","4","2","2","4","4","2","3","2","1","1","6","7","4","2","5","6","1","4","7","1","3"
"2018/09/11 2:58:47 PM MEZ","3_06_2","3","2","3","2","4","5","4","2","2","4","3","3","5","3","5","3","2","3","2","5","5","5","3","4","4","4","2","4","2","4","3","5","4","3","2","3","1","3","2","5","4","5","3","4","4","5","3","2","1","2","2","1","1","3","3","1","3"
