"","unique_id","pair_id","sbj_id","wall_time","condition","block","rule_id","rule_num","trial","stimulus","choice","correct","points","reaction_time"
"0","1_14_1",14,"1.0","106.533026585","1_I","training","03","1_A","1.0","10011","ignore","1.0","100.0","3.30854302219"
"1","1_14_1",14,"1.0","112.563253555","1_I","training","03","1_A","2.0","01101","ignore","0.0","0.0","3.85872199308"
"2","1_14_1",14,"1.0","119.004211225","1_I","training","03","1_A","3.0","11101","kill","0.0","0.0","4.30761358052"
"3","1_14_1",14,"1.0","123.021578318","1_I","training","03","1_A","4.0","00001","ignore","1.0","100.0","1.87438497359"
"4","1_14_1",14,"1.0","129.383914009","1_I","training","03","1_A","5.0","10110","kill","0.0","0.0","4.2272098974"
"5","1_14_1",14,"1.0","133.932691838","1_I","training","03","1_A","6.0","10101","ignore","1.0","100.0","2.40482069863"
"6","1_14_1",14,"1.0","139.245467843","1_I","training","03","1_A","7.0","00000","ignore","1.0","200.0","3.15243623328"
"7","1_14_1",14,"1.0","143.026946008","1_I","training","03","1_A","8.0","00010","ignore","1.0","300.0","1.63503814447"
"8","1_14_1",14,"1.0","147.261539302","1_I","training","03","1_A","9.0","10001","ignore","1.0","400.0","2.08546429593"
"9","1_14_1",14,"1.0","152.527451166","1_I","training","03","1_A","10.0","01110","kill","1.0","500.0","3.15072719368"
"10","1_14_1",14,"1.0","156.402667054","1_I","training","03","1_A","11.0","00101","ignore","1.0","600.0","1.70771317529"
"11","1_14_1",14,"1.0","159.668438928","1_I","training","03","1_A","12.0","10000","ignore","1.0","700.0","1.13523129919"
"12","1_14_1",14,"1.0","165.70002886","1_I","training","03","1_A","13.0","11100","ignore","0.0","600.0","3.90942213278"
"13","1_14_1",14,"1.0","169.793938595","1_I","training","03","1_A","14.0","10111","ignore","1.0","700.0","1.96097001853"
"14","1_14_1",14,"1.0","173.075378376","1_I","training","03","1_A","15.0","11111","ignore","1.0","800.0","1.16758522927"
"15","1_14_1",14,"1.0","177.810016622","1_I","training","03","1_A","16.0","11110","ignore","0.0","700.0","2.61412119115"
"16","1_14_1",14,"1.0","181.232091108","1_I","training","03","1_A","17.0","11000","ignore","0.0","600.0","1.29530217323"
"17","1_14_1",14,"1.0","185.357320236","1_I","training","03","1_A","18.0","10100","kill","0.0","500.0","2.00489065308"
"18","1_14_1",14,"1.0","188.216846459","1_I","training","03","1_A","19.0","01011","ignore","0.0","400.0","0.747655766664"
"19","1_14_1",14,"1.0","191.216960997","1_I","training","03","1_A","20.0","01001","ignore","0.0","300.0","0.874533585728"
"20","1_14_1",14,"1.0","196.920377967","1_I","training","03","1_A","21.0","11010","ignore","0.0","200.0","3.58743258572"
"21","1_14_1",14,"1.0","200.873760146","1_I","training","03","1_A","22.0","10010","kill","0.0","100.0","1.81924658572"
"22","1_14_1",14,"1.0","208.983563169","1_I","training","03","1_A","23.0","00011","ignore","1.0","200.0","5.99873104939"
"23","1_14_1",14,"1.0","216.68709632","1_I","training","03","1_A","24.0","00111","kill","0.0","100.0","5.56238405072"
"24","1_14_1",14,"1.0","219.577887335","1_I","training","03","1_A","25.0","11011","ignore","1.0","200.0","0.781429312143"
"25","1_14_1",14,"1.0","223.453042054","1_I","training","03","1_A","26.0","01100","ignore","0.0","100.0","1.79662018227"
"26","1_14_1",14,"1.0","226.750103762","1_I","training","03","1_A","27.0","01111","ignore","0.0","0.0","1.18579678481"
"27","1_14_1",14,"1.0","229.562760507","1_I","training","03","1_A","28.0","00110","ignore","1.0","100.0","0.710321277276"
"28","1_14_1",14,"1.0","233.469219019","1_I","training","03","1_A","29.0","01000","ignore","0.0","0.0","1.7762989091"
"29","1_14_1",14,"1.0","238.891388748","1_I","training","03","1_A","30.0","01010","ignore","0.0","0.0","3.30704540593"
"30","1_14_1",14,"1.0","242.360328605","1_I","training","03","1_A","31.0","00100","ignore","1.0","100.0","1.34958994134"
"31","1_14_1",14,"1.0","245.547984684","1_I","training","03","1_A","32.0","11001","ignore","1.0","200.0","1.07823443852"
"32","1_14_1",14,"1.0","248.798178557","1_I","training","03","1_A","33.0","11001","ignore","1.0","300.0","1.11116557486"
