,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,1_29_1,29,1.0,33.3956940649,1_I,training,05,1_A,1.0,10011,kill,0.0,0.0,5.27625805462
1,1_29_1,29,1.0,35.5676607774,1_I,training,05,1_A,2.0,11111,kill,0.0,0.0,0.0200299621974
2,1_29_1,29,1.0,54.0373988632,1_I,training,05,1_A,3.0,11010,kill,1.0,100.0,16.3237482316
3,1_29_1,29,1.0,72.7882838256,1_I,training,05,1_A,4.0,01001,ignore,1.0,200.0,16.5933900355
4,1_29_1,29,1.0,87.3983852743,1_I,training,05,1_A,5.0,00110,ignore,0.0,100.0,12.4530956285
5,1_29_1,29,1.0,101.070921435,1_I,training,05,1_A,6.0,10000,kill,1.0,200.0,11.5373047302
6,1_29_1,29,1.0,114.993462969,1_I,training,05,1_A,7.0,10001,kill,0.0,100.0,11.7875336481
7,1_29_1,29,1.0,128.744091992,1_I,training,05,1_A,8.0,01111,ignore,1.0,200.0,11.6287109168
8,1_29_1,29,1.0,143.119809976,1_I,training,05,1_A,9.0,10110,kill,0.0,100.0,12.2344719844
9,1_29_1,29,1.0,150.043237995,1_I,training,05,1_A,10.0,11110,kill,0.0,0.0,4.80922785605
10,1_29_1,29,1.0,159.512465165,1_I,training,05,1_A,11.0,11101,kill,0.0,0.0,7.35010867791
11,1_29_1,29,1.0,162.871997085,1_I,training,05,1_A,12.0,01010,ignore,0.0,0.0,1.24415148645
12,1_29_1,29,1.0,167.200358635,1_I,training,05,1_A,13.0,00000,ignore,0.0,0.0,2.21069594593
13,1_29_1,29,1.0,172.122457246,1_I,training,05,1_A,14.0,01100,ignore,0.0,0.0,2.78590019208
14,1_29_1,29,1.0,179.84467382,1_I,training,05,1_A,15.0,11000,ignore,0.0,0.0,5.60984486818
15,1_29_1,29,1.0,183.673000572,1_I,training,05,1_A,16.0,10010,ignore,0.0,0.0,1.71920784598
16,1_29_1,29,1.0,196.642372549,1_I,training,05,1_A,17.0,10111,ignore,1.0,100.0,10.8834630295
17,1_29_1,29,1.0,204.502116629,1_I,training,05,1_A,18.0,00101,ignore,1.0,200.0,5.7788839964
18,1_29_1,29,1.0,232.815972076,1_I,training,05,1_A,19.0,10100,ignore,1.0,300.0,26.2093844985
19,1_29_1,29,1.0,237.628775383,1_I,training,05,1_A,20.0,01101,ignore,1.0,400.0,2.72684528737
20,1_29_1,29,1.0,241.582046929,1_I,training,05,1_A,21.0,00011,kill,0.0,300.0,1.90829361413
21,1_29_1,29,1.0,246.472895951,1_I,training,05,1_A,22.0,01000,ignore,0.0,200.0,2.82601143259
22,1_29_1,29,1.0,250.225032065,1_I,training,05,1_A,23.0,00100,ignore,0.0,100.0,1.68285679372
