"","Timestamp","ID","... is talkative","... tends to find fault with others","... does a thorough job","... is depressed, blue","... is original, comes up with new ideas","... is reserved","... is helpful and unselfish with others","... can be somewhat careless","... is relaxed, handles stress well","... is curious about many different things","... is full of energy","... starts quarrels with others","... is a reliable worker","... can be tense","... is ingenious, a deep thinker","... generates a lot of enthusiasm","... has a forgiving nature","... tends to be disorganized","... worries a lot","... has an active imagination","... tends to be quiet","... is generally trusting","... tends to be lazy","... is emotionally stable, not easily upset","... is inventive","... has an assertive personality","... can be cold and aloof (unapproachable)","... perseveres until the task is finished","... can be moody","... values artistic, aesthetic experiences","... is sometimes shy, inhibited","... is considerate and kind to almost everyone","... does things efficiently","... remains calm in tense situations","... prefers work that is routine","... is outgoing, sociable","... is sometimes rude to others","... makes plans and follows through with them","... gets nervous easily","... likes to reflect, play with ideas","... has few artistic interests","... likes to cooperate with others","... is easily distracted","... is sophisticated in art, music, or literature","Feedback 1","Feedback 2","Feedback 3","Feedback 4","Feedback 5","Feedback 6","Feedback 7","Feedback 8","Feedback 9","Feedback 10","Feedback 11","Feedback 12","Feedback 13"
"1",2018-09-11 10:55:43,"2_1_2",5,3,3,2,4,4,4,4,3,4,3,2,3,3,3,4,4,3,2,3,2,1,4,3,4,3,2,2,3,4,3,3,4,3,3,5,2,3,3,4,4,4,3,3,2,4,3,2,2,4,3,2,1,2,4,2,3
"2",2018-09-11 10:56:57,"2_1_1",5,2,3,1,4,2,4,4,2,3,3,1,4,4,2,5,5,5,5,5,3,5,5,2,4,4,2,2,4,3,4,4,2,4,2,4,2,2,5,4,2,5,5,2,4,4,4,2,2,3,3,7,1,4,7,1,3
"3",2018-09-11 10:57:49,"2_2_2",1,1,4,1,4,3,4,2,4,5,5,1,5,4,5,4,4,1,4,5,2,4,2,4,3,2,1,3,2,4,5,5,4,4,2,4,1,4,4,3,3,4,2,1,6,5,1,1,4,5,6,5,1,4,6,3,7
"4",2018-09-11 10:59:52,"2_2_1",4,3,5,1,2,2,3,3,5,5,3,5,5,3,4,4,4,3,2,2,2,4,3,5,2,3,3,5,2,2,3,4,5,4,3,4,1,4,3,2,4,1,2,4,2,1,6,1,1,1,4,5,2,3,7,2,6
"5",2018-09-11 12:54:37,"2_3_1",5,4,4,5,5,4,4,1,2,5,1,2,5,5,5,3,1,1,5,5,3,5,2,1,5,4,1,5,5,3,5,5,4,3,5,1,3,5,5,3,4,2,1,4,4,6,2,4,1,1,7,2,1,3,3,1,2
"6",2018-09-11 12:54:49,"2_4_1",4,3,5,3,4,4,4,1,2,3,3,1,5,4,5,4,2,2,5,5,3,5,3,3,4,3,1,5,1,5,3,5,5,3,4,4,1,4,4,4,3,3,2,4,2,2,3,4,3,2,4,5,2,6,7,4,5
"7",2018-09-11 12:54:58,"2_3_2",5,2,4,1,4,1,3,4,3,5,5,2,5,3,4,5,5,1,3,3,1,5,2,5,3,4,2,4,1,5,1,5,5,4,2,5,3,5,2,3,3,3,2,5,6,1,4,4,1,1,4,2,1,4,2,2,5
"8",2018-09-11 12:55:52,"2_4_2",3,1,4,3,4,4,5,2,3,5,4,1,5,4,4,3,5,3,4,4,3,4,2,3,4,3,3,5,3,5,3,5,4,3,2,3,1,5,4,4,4,4,4,4,2,1,2,3,1,3,3,3,1,4,7,5,4
"9",2018-09-11 14:55:01,"2_5_1",5,3,4,3,3,4,5,3,4,4,2,3,4,3,4,2,3,5,4,1,3,4,4,2,3,4,4,2,2,2,3,3,3,5,1,4,2,1,1,2,4,4,4,1,1,1,2,2,2,1,2,3,1,4,6,1,5
"10",2018-09-11 14:55:48,"2_5_2",4,2,3,2,5,2,4,2,4,5,4,3,4,3,4,2,2,3,2,5,4,5,2,2,4,3,2,2,3,5,4,4,4,4,1,3,2,4,1,5,2,2,4,3,2,1,3,4,2,3,5,4,1,4,7,2,4
"11",2018-09-11 14:57:15,"2_6_1",4,3,3,2,4,2,3,3,3,4,4,3,5,3,5,5,4,4,4,5,3,4,5,3,4,3,4,3,4,4,4,4,4,3,1,3,4,3,3,3,3,4,5,5,3,3,2,3,1,1,2,2,1,2,6,2,2
"12",2018-09-11 14:57:53,"2_7_2",3,2,4,5,3,1,3,4,1,5,3,2,4,4,3,2,5,3,5,5,4,5,5,1,2,2,3,5,3,4,4,3,4,2,5,2,1,3,5,5,1,3,4,3,3,5,2,2,2,3,3,3,1,4,7,4,4
"13",2018-09-11 14:58:35,"2_6_2",5,4,5,1,4,2,4,1,5,5,4,1,5,2,4,4,5,1,2,5,2,5,2,5,4,4,2,4,4,5,4,5,5,5,2,4,2,4,2,4,2,5,4,4,1,1,2,2,3,1,5,5,2,4,5,3,4
"14",2018-09-11 14:59:57,"2_7_1",5,2,4,3,4,1,3,4,3,5,4,3,4,2,5,4,5,4,3,5,2,5,5,4,4,3,3,3,4,5,2,5,4,4,5,5,2,2,3,5,1,5,5,5,3,1,4,4,2,7,2,1,1,4,7,1,2
"15",2018-09-14 09:48:49,"2_9_2",4,2,4,2,3,2,4,4,3,5,4,1,4,2,4,4,5,2,3,4,3,5,3,4,4,4,2,4,3,4,4,5,4,2,4,3,2,4,3,4,1,4,3,5,2,2,2,3,1,2,2,2,2,4,5,2,4
