,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,2_30_2,30,2.0,49.8359871044,2_ND,training,05,1_B,1.0,10111,kill,0.0,0.0,15.0716566552
1,2_30_2,30,2.0,59.4465557485,2_ND,training,05,1_B,2.0,10100,kill,0.0,0.0,7.35556597886
2,2_30_2,30,2.0,67.697424015,2_ND,training,05,1_B,3.0,11010,ignore,1.0,100.0,6.03639067409
3,2_30_2,30,2.0,71.3540791882,2_ND,training,05,1_B,4.0,11110,ignore,1.0,200.0,1.43585040047
4,2_30_2,30,2.0,77.2453679658,2_ND,training,05,1_B,5.0,01110,ignore,1.0,300.0,3.66244219379
5,2_30_2,30,2.0,81.2770721345,2_ND,training,05,1_B,6.0,10101,ignore,0.0,200.0,1.78981410423
6,2_30_2,30,2.0,91.8719033253,2_ND,training,05,1_B,7.0,00101,kill,1.0,300.0,8.3450497863
7,2_30_2,30,2.0,99.9352698495,2_ND,training,05,1_B,8.0,11101,ignore,0.0,200.0,5.84914948291
8,2_30_2,30,2.0,112.639745809,2_ND,training,05,1_B,9.0,00011,ignore,1.0,300.0,10.4638593525
9,2_30_2,30,2.0,121.906512524,2_ND,training,05,1_B,10.0,01001,kill,1.0,400.0,7.04126633493
10,2_30_2,30,2.0,126.578708315,2_ND,training,05,1_B,11.0,10110,ignore,1.0,500.0,2.43921793729
11,2_30_2,30,2.0,131.297849942,2_ND,training,05,1_B,12.0,00100,kill,0.0,400.0,2.48022229896
12,2_30_2,30,2.0,139.658214497,2_ND,training,05,1_B,13.0,01101,kill,1.0,500.0,6.13586086802
13,2_30_2,30,2.0,145.002518755,2_ND,training,05,1_B,14.0,11001,kill,1.0,600.0,3.1150830606
14,2_30_2,30,2.0,148.424736875,2_ND,training,05,1_B,15.0,11111,ignore,1.0,700.0,1.21797284466
15,2_30_2,30,2.0,152.081432724,2_ND,training,05,1_B,16.0,11100,kill,1.0,800.0,1.43753118221
16,2_30_2,30,2.0,156.253676301,2_ND,training,05,1_B,17.0,00000,kill,0.0,700.0,1.96866816891
17,2_30_2,30,2.0,168.81756535,2_ND,training,05,1_B,18.0,01111,kill,0.0,600.0,10.3503199715
18,2_30_2,30,2.0,172.489865816,2_ND,training,05,1_B,19.0,10000,kill,0.0,500.0,1.45322312442
19,2_30_2,30,2.0,176.677791381,2_ND,training,05,1_B,20.0,00001,kill,1.0,600.0,1.95939130044
20,2_30_2,30,2.0,182.272135034,2_ND,training,05,1_B,21.0,10011,ignore,1.0,700.0,3.38845457395
21,2_30_2,30,2.0,188.38217774,2_ND,training,05,1_B,22.0,01000,kill,1.0,800.0,3.90418861392
22,2_30_2,30,2.0,195.164170193,2_ND,training,05,1_B,23.0,01011,ignore,1.0,900.0,4.55929868536
23,2_30_2,30,2.0,201.49294578,2_ND,training,05,1_B,24.0,00111,ignore,1.0,1000.0,4.09757693224
24,2_30_2,30,2.0,205.883998469,2_ND,training,05,1_B,25.0,11000,kill,1.0,1100.0,2.18405512987
25,2_30_2,30,2.0,214.900361415,2_ND,training,05,1_B,26.0,10010,kill,0.0,1000.0,6.82120709086
26,2_30_2,30,2.0,220.475544043,2_ND,training,05,1_B,27.0,11011,ignore,1.0,1100.0,3.30691774381
27,2_30_2,30,2.0,225.085424331,2_ND,training,05,1_B,28.0,10001,kill,1.0,1200.0,2.28363824821
28,2_30_2,30,2.0,258.839322783,2_ND,training,05,1_B,29.0,01010,,,1100.0,
29,2_30_2,30,2.0,264.308674472,2_ND,training,05,1_B,30.0,00110,ignore,1.0,1200.0,3.26785898159
30,2_30_2,30,2.0,269.887382788,2_ND,training,05,1_B,31.0,01100,kill,1.0,1300.0,3.38925329372
31,2_30_2,30,2.0,275.38792437,2_ND,training,05,1_B,32.0,00010,ignore,1.0,1400.0,3.30501424213
32,2_30_2,30,2.0,279.591474747,2_ND,training,05,1_B,33.0,11101,kill,1.0,1500.0,2.00011690663
33,2_30_2,30,2.0,285.37339808,2_ND,training,05,1_B,34.0,11110,ignore,1.0,1600.0,3.56500207929
34,2_30_2,30,2.0,290.670812254,2_ND,training,05,1_B,35.0,10110,ignore,1.0,1700.0,3.08859816146
35,2_30_2,30,2.0,295.8900998,2_ND,training,05,1_B,36.0,00101,kill,1.0,1800.0,3.01665251082
36,2_30_2,30,2.0,301.812656978,2_ND,training,05,1_B,37.0,01101,kill,1.0,1900.0,3.69887638787
37,2_30_2,30,2.0,305.750569315,2_ND,training,05,1_B,38.0,00000,kill,0.0,1800.0,1.73811634116
38,2_30_2,30,2.0,314.12642528,2_ND,training,05,1_B,39.0,11001,kill,1.0,1900.0,6.16936869849
39,2_30_2,30,2.0,321.299121124,2_ND,training,05,1_B,40.0,01001,ignore,0.0,1800.0,4.94707827283
40,2_30_2,30,2.0,326.033936204,2_ND,training,05,1_B,41.0,01110,ignore,1.0,1900.0,2.52714225006
41,2_30_2,30,2.0,329.846840364,2_ND,training,05,1_B,42.0,01011,ignore,1.0,2000.0,1.5887881703
42,2_30_2,30,2.0,339.910431314,2_ND,training,05,1_B,43.0,00010,ignore,1.0,2100.0,7.84979005162
43,2_30_2,30,2.0,344.770336208,2_ND,training,05,1_B,44.0,00111,ignore,1.0,2200.0,2.6305807273
44,2_30_2,30,2.0,351.833549416,2_ND,training,05,1_B,45.0,10001,kill,1.0,2300.0,4.848420452
45,2_30_2,30,2.0,367.272716438,2_ND,training,05,1_B,46.0,11010,ignore,1.0,2400.0,13.2408245359
46,2_30_2,30,2.0,371.085629985,2_ND,training,05,1_B,47.0,11111,ignore,1.0,2500.0,1.61885649952
47,2_30_2,30,2.0,374.898528171,2_ND,training,05,1_B,48.0,00011,ignore,1.0,2600.0,1.59094767191
48,2_30_2,30,2.0,379.805297833,2_ND,training,05,1_B,49.0,10000,kill,0.0,2500.0,2.7077368298
49,2_30_2,30,2.0,383.430674651,2_ND,training,05,1_B,50.0,10010,ignore,1.0,2600.0,1.43550280946
50,2_30_2,30,2.0,388.509369028,2_ND,training,05,1_B,51.0,00001,kill,1.0,2700.0,2.87066599234
51,2_30_2,30,2.0,394.650613006,2_ND,training,05,1_B,52.0,01111,ignore,1.0,2800.0,3.93534551173
52,2_30_2,30,2.0,404.776721699,2_ND,training,05,1_B,53.0,11100,kill,1.0,2900.0,7.92511063463
53,2_30_2,30,2.0,409.136519641,2_ND,training,05,1_B,54.0,00110,ignore,1.0,3000.0,2.16846757875
54,2_30_2,30,2.0,419.731417392,2_ND,training,05,1_B,55.0,10101,kill,1.0,3100.0,8.3730149339
55,2_30_2,30,2.0,424.216283245,2_ND,training,05,1_B,56.0,10111,ignore,1.0,3200.0,2.26104625464
56,2_30_2,30,2.0,428.810517103,2_ND,training,05,1_B,57.0,00100,kill,0.0,3100.0,2.38262687783
57,2_30_2,30,2.0,432.092092845,2_ND,training,05,1_B,58.0,01010,ignore,1.0,3200.0,1.07548584519
58,2_30_2,30,2.0,435.639321134,2_ND,training,05,1_B,59.0,10011,ignore,1.0,3300.0,1.34948342059
59,2_30_2,30,2.0,442.108761569,2_ND,training,05,1_B,60.0,11000,kill,1.0,3400.0,4.26038293038
60,2_30_2,30,2.0,446.953047907,2_ND,training,05,1_B,61.0,01100,kill,1.0,3500.0,2.62811374134
61,2_30_2,30,2.0,452.578664795,2_ND,training,05,1_B,62.0,10100,ignore,1.0,3600.0,3.42253840425
62,2_30_2,30,2.0,455.938420355,2_ND,training,05,1_B,63.0,11011,ignore,1.0,3700.0,1.16159597181
63,2_30_2,30,2.0,469.736736786,2_ND,training,05,1_B,64.0,01000,ignore,0.0,3600.0,11.608593178
64,2_30_2,30,2.0,474.330983728,2_ND,training,05,1_B,65.0,10100,kill,0.0,3500.0,2.38087441611
65,2_30_2,30,2.0,478.081402572,2_ND,training,05,1_B,66.0,10010,ignore,1.0,3600.0,1.55360951364
66,2_30_2,30,2.0,483.879036337,2_ND,training,05,1_B,67.0,01101,kill,1.0,3700.0,3.60063072693
67,2_30_2,30,2.0,489.629506096,2_ND,training,05,1_B,68.0,10001,kill,1.0,3800.0,3.54836720402
68,2_30_2,30,2.0,494.911301714,2_ND,training,05,1_B,69.0,00110,ignore,1.0,3900.0,3.08157352346
69,2_30_2,30,2.0,501.521339301,2_ND,training,05,1_B,70.0,00100,kill,0.0,3800.0,4.37703128831
70,2_30_2,30,2.0,506.756301723,2_ND,training,05,1_B,71.0,10101,kill,1.0,3900.0,3.01142157897
71,2_30_2,30,2.0,509.819107891,2_ND,training,05,1_B,72.0,10110,ignore,1.0,4000.0,0.862266634733
72,2_30_2,30,2.0,513.428857336,2_ND,training,05,1_B,73.0,01110,ignore,1.0,4100.0,1.40068738825
73,2_30_2,30,2.0,522.554849976,2_ND,training,05,1_B,74.0,00011,ignore,1.0,4200.0,6.90133961917
