,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,2_23_2,23,2.0,54.3449714461,2_ND,training,03,1_A,1.0,00000,ignore,1.0,100.0,2.33316674408
1,2_23_2,23,2.0,58.1423080851,2_ND,training,03,1_A,2.0,01111,ignore,0.0,0.0,1.5443910101
2,2_23_2,23,2.0,61.6739241553,2_ND,training,03,1_A,3.0,01000,ignore,0.0,0.0,1.2771122583
3,2_23_2,23,2.0,68.9715234781,2_ND,training,03,1_A,4.0,00101,ignore,1.0,100.0,5.04485337349
4,2_23_2,23,2.0,72.7687705173,2_ND,training,03,1_A,5.0,00111,kill,0.0,0.0,1.53922494185
5,2_23_2,23,2.0,77.8317989961,2_ND,training,03,1_A,6.0,10000,kill,0.0,0.0,2.80816541431
6,2_23_2,23,2.0,83.8012295368,2_ND,training,03,1_A,7.0,10011,kill,0.0,0.0,3.72984722808
7,2_23_2,23,2.0,88.8954566646,2_ND,training,03,1_A,8.0,01100,ignore,0.0,0.0,2.84576404875
8,2_23_2,23,2.0,94.5366916854,2_ND,training,03,1_A,9.0,11100,ignore,0.0,0.0,3.39062126223
9,2_23_2,23,2.0,104.52207611,2_ND,training,03,1_A,10.0,11010,ignore,0.0,0.0,7.74445995927
10,2_23_2,23,2.0,109.241289691,2_ND,training,03,1_A,11.0,11000,ignore,0.0,0.0,2.48847675511
11,2_23_2,23,2.0,118.211005244,2_ND,training,03,1_A,12.0,01010,ignore,0.0,0.0,6.74397356038
12,2_23_2,23,2.0,128.868423695,2_ND,training,03,1_A,13.0,00100,ignore,1.0,100.0,8.40176520132
13,2_23_2,23,2.0,132.915695979,2_ND,training,03,1_A,14.0,00110,kill,0.0,0.0,1.79063656531
14,2_23_2,23,2.0,139.822616581,2_ND,training,03,1_A,15.0,10010,kill,0.0,0.0,4.66602970219
15,2_23_2,23,2.0,143.916808723,2_ND,training,03,1_A,16.0,10001,ignore,1.0,100.0,1.847999777
16,2_23_2,23,2.0,151.011345894,2_ND,training,03,1_A,17.0,10111,kill,0.0,0.0,4.87341938137
17,2_23_2,23,2.0,154.793003138,2_ND,training,03,1_A,18.0,01101,ignore,0.0,0.0,1.58450896325
18,2_23_2,23,2.0,159.918540985,2_ND,training,03,1_A,19.0,11001,kill,0.0,0.0,2.90185494333
