,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,2_21_1,21,1.0,36.5918326127,2_ND,training,01,1_A,1.0,01000,kill,0.0,0.0,3.24217501415
1,2_21_1,21,1.0,40.623325094,2_ND,training,01,1_A,2.0,11001,kill,0.0,0.0,1.81710656875
2,2_21_1,21,1.0,45.3735815719,2_ND,training,01,1_A,3.0,00111,ignore,0.0,0.0,2.54943936141
3,2_21_1,21,1.0,49.3425024929,2_ND,training,01,1_A,4.0,10001,kill,0.0,0.0,1.79828136245
4,2_21_1,21,1.0,55.0615234804,2_ND,training,01,1_A,5.0,01100,ignore,1.0,100.0,3.54578893978
5,2_21_1,21,1.0,58.936661572,2_ND,training,01,1_A,6.0,01101,ignore,1.0,200.0,1.70255098459
6,2_21_1,21,1.0,63.358796379,2_ND,training,01,1_A,7.0,11000,kill,0.0,100.0,2.29915927818
7,2_21_1,21,1.0,69.8434263879,2_ND,training,01,1_A,8.0,01001,kill,0.0,0.0,4.32496552585
8,2_21_1,21,1.0,73.7498845388,2_ND,training,01,1_A,9.0,01011,ignore,0.0,0.0,1.75024539356
9,2_21_1,21,1.0,77.4844707238,2_ND,training,01,1_A,10.0,10100,kill,0.0,0.0,1.53470343198
10,2_21_1,21,1.0,83.8597921165,2_ND,training,01,1_A,11.0,01010,ignore,0.0,0.0,4.23271561073
11,2_21_1,21,1.0,88.4693472552,2_ND,training,01,1_A,12.0,11100,kill,0.0,0.0,2.46817109032
12,2_21_1,21,1.0,97.5479323104,2_ND,training,01,1_A,13.0,01111,kill,1.0,100.0,6.92094858415
13,2_21_1,21,1.0,102.126275359,2_ND,training,01,1_A,14.0,10011,kill,0.0,0.0,2.42407414478
14,2_21_1,21,1.0,109.314087746,2_ND,training,01,1_A,15.0,10000,kill,0.0,0.0,5.03156760813
15,2_21_1,21,1.0,116.501950217,2_ND,training,01,1_A,16.0,10101,ignore,1.0,100.0,5.02688265405
16,2_21_1,21,1.0,121.689669003,2_ND,training,01,1_A,17.0,00011,kill,1.0,200.0,3.0350328813
17,2_21_1,21,1.0,126.877466611,2_ND,training,01,1_A,18.0,00100,ignore,1.0,300.0,3.02456480874
18,2_21_1,21,1.0,130.611974385,2_ND,training,01,1_A,19.0,10110,ignore,0.0,200.0,1.5381966211
19,2_21_1,21,1.0,134.737218085,2_ND,training,01,1_A,20.0,10111,kill,1.0,300.0,1.98060662191
20,2_21_1,21,1.0,138.8623961,2_ND,training,01,1_A,21.0,11101,ignore,1.0,400.0,1.98698213338
21,2_21_1,21,1.0,143.847032883,2_ND,training,01,1_A,22.0,10010,kill,0.0,300.0,2.84225268619
22,2_21_1,21,1.0,147.878462964,2_ND,training,01,1_A,23.0,00110,ignore,0.0,200.0,1.88779099817
23,2_21_1,21,1.0,151.722379113,2_ND,training,01,1_A,24.0,00010,kill,1.0,300.0,1.70171555859
24,2_21_1,21,1.0,157.675789437,2_ND,training,01,1_A,25.0,11010,ignore,1.0,400.0,3.83253054436
25,2_21_1,21,1.0,161.254130022,2_ND,training,01,1_A,26.0,00101,ignore,1.0,500.0,1.43554349696
26,2_21_1,21,1.0,165.644950927,2_ND,training,01,1_A,27.0,00001,kill,0.0,400.0,2.21750182583
27,2_21_1,21,1.0,169.660777221,2_ND,training,01,1_A,28.0,00000,kill,0.0,300.0,1.87187151436
28,2_21_1,21,1.0,173.426527465,2_ND,training,01,1_A,29.0,11111,ignore,0.0,200.0,1.62753424528
29,2_21_1,21,1.0,180.051884676,2_ND,training,01,1_A,30.0,01110,ignore,0.0,100.0,4.42727011108
30,2_21_1,21,1.0,187.614753664,2_ND,training,01,1_A,31.0,11110,kill,1.0,200.0,5.44625501307
31,2_21_1,21,1.0,196.630816423,2_ND,training,01,1_A,32.0,11011,ignore,1.0,300.0,6.87924707385
32,2_21_1,21,1.0,205.881250044,2_ND,training,01,1_A,33.0,00100,kill,0.0,200.0,7.07816056847
33,2_21_1,21,1.0,210.506462338,2_ND,training,01,1_A,34.0,10000,ignore,1.0,300.0,2.47152182597
34,2_21_1,21,1.0,214.037861835,2_ND,training,01,1_A,35.0,11100,ignore,1.0,400.0,1.37880308701
35,2_21_1,21,1.0,219.725680174,2_ND,training,01,1_A,36.0,11111,ignore,0.0,300.0,3.53777665019
36,2_21_1,21,1.0,223.772711579,2_ND,training,01,1_A,37.0,01111,kill,1.0,400.0,1.88887561513
37,2_21_1,21,1.0,227.179150641,2_ND,training,01,1_A,38.0,01101,kill,0.0,300.0,1.24043601437
38,2_21_1,21,1.0,233.210705522,2_ND,training,01,1_A,39.0,00111,ignore,0.0,200.0,3.88230263933
39,2_21_1,21,1.0,237.44523567,2_ND,training,01,1_A,40.0,00001,ignore,1.0,300.0,2.07628691526
40,2_21_1,21,1.0,240.5860614,2_ND,training,01,1_A,41.0,01001,ignore,1.0,400.0,0.997627143833
41,2_21_1,21,1.0,243.414298224,2_ND,training,01,1_A,42.0,00101,ignore,1.0,500.0,0.681307763961
42,2_21_1,21,1.0,246.945739594,2_ND,training,01,1_A,43.0,00011,kill,1.0,600.0,1.36688790061
43,2_21_1,21,1.0,252.227221915,2_ND,training,01,1_A,44.0,01000,kill,0.0,500.0,3.08098090097
44,2_21_1,21,1.0,256.383686737,2_ND,training,01,1_A,45.0,10100,ignore,1.0,600.0,1.94963838575
45,2_21_1,21,1.0,262.962132007,2_ND,training,01,1_A,46.0,10111,ignore,0.0,500.0,4.38442609928
46,2_21_1,21,1.0,266.70458967,2_ND,training,01,1_A,47.0,00000,ignore,1.0,600.0,1.59277682877
47,2_21_1,21,1.0,272.204931436,2_ND,training,01,1_A,48.0,10010,ignore,1.0,700.0,3.35453303792
