,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,3_36_2,36,2.0,54.428366047,3_D,training,01,1_B,1.0,10001,kill,0.0,0.0,3.1633082692
1,3_36_2,36,2.0,61.6474901925,3_D,training,01,1_B,2.0,11000,kill,1.0,100.0,4.61458057937
2,3_36_2,36,2.0,72.1689087001,3_D,training,01,1_B,3.0,11011,kill,0.0,0.0,7.96317887059
3,3_36_2,36,2.0,77.6535565733,3_D,training,01,1_B,4.0,10100,kill,0.0,0.0,2.90308816019
4,3_36_2,36,2.0,84.4408321579,3_D,training,01,1_B,5.0,01100,ignore,0.0,0.0,4.05905699943
5,3_36_2,36,2.0,89.4755173071,3_D,training,01,1_B,6.0,00011,ignore,1.0,100.0,2.48108776937
6,3_36_2,36,2.0,93.4627387839,3_D,training,01,1_B,7.0,01010,ignore,0.0,0.0,1.43876268328
7,3_36_2,36,2.0,101.400646336,3_D,training,01,1_B,8.0,01000,kill,1.0,100.0,5.35708227486
8,3_36_2,36,2.0,105.88861087,3_D,training,01,1_B,9.0,00101,kill,0.0,0.0,1.90783510216
9,3_36_2,36,2.0,115.920350066,3_D,training,01,1_B,10.0,01110,kill,1.0,100.0,7.335811147
10,3_36_2,36,2.0,121.067653468,3_D,training,01,1_B,11.0,01111,kill,0.0,0.0,2.57909859419
11,3_36_2,36,2.0,126.88040933,3_D,training,01,1_B,12.0,10010,ignore,1.0,100.0,3.17975486517
12,3_36_2,36,2.0,131.633801938,3_D,training,01,1_B,13.0,01011,kill,0.0,0.0,2.18006933007
13,3_36_2,36,2.0,138.181029146,3_D,training,01,1_B,14.0,00010,kill,0.0,0.0,3.97571353973
14,3_36_2,36,2.0,145.231462582,3_D,training,01,1_B,15.0,11001,ignore,0.0,0.0,4.37574079882
15,3_36_2,36,2.0,151.184912336,3_D,training,01,1_B,16.0,01101,ignore,0.0,0.0,3.39351668634
16,3_36_2,36,2.0,171.10771572,3_D,training,01,1_B,17.0,01001,kill,1.0,100.0,17.3891675466
17,3_36_2,36,2.0,181.470801565,3_D,training,01,1_B,18.0,00001,ignore,1.0,200.0,7.82648927453
18,3_36_2,36,2.0,186.674161003,3_D,training,01,1_B,19.0,10110,ignore,1.0,300.0,2.61865343342
19,3_36_2,36,2.0,191.633804812,3_D,training,01,1_B,20.0,11111,ignore,1.0,400.0,2.40446876781
20,3_36_2,36,2.0,195.951040362,3_D,training,01,1_B,21.0,11110,ignore,0.0,300.0,1.78196047102
21,3_36_2,36,2.0,204.576452327,3_D,training,01,1_B,22.0,10000,kill,0.0,200.0,5.99604250449
22,3_36_2,36,2.0,208.662525391,3_D,training,01,1_B,23.0,10111,ignore,1.0,300.0,1.53688352976
23,3_36_2,36,2.0,214.115815449,3_D,training,01,1_B,24.0,00110,ignore,1.0,400.0,2.87449689722
24,3_36_2,36,2.0,219.444210398,3_D,training,01,1_B,25.0,00000,kill,0.0,300.0,2.72040047884
25,3_36_2,36,2.0,224.819459794,3_D,training,01,1_B,26.0,00111,ignore,1.0,400.0,2.81906527569
26,3_36_2,36,2.0,233.057408317,3_D,training,01,1_B,27.0,10101,ignore,1.0,500.0,5.68795517356
27,3_36_2,36,2.0,237.86138133,3_D,training,01,1_B,28.0,10011,ignore,1.0,600.0,2.22451069099
28,3_36_2,36,2.0,243.877488419,3_D,training,01,1_B,29.0,00100,ignore,1.0,700.0,3.44946516336
29,3_36_2,36,2.0,253.003410261,3_D,training,01,1_B,30.0,11100,kill,1.0,800.0,6.56746914057
30,3_36_2,36,2.0,257.475408928,3_D,training,01,1_B,31.0,11010,ignore,0.0,700.0,1.95133019471
31,3_36_2,36,2.0,263.98528994,3_D,training,01,1_B,32.0,11101,kill,1.0,800.0,3.92617669807
32,3_36_2,36,2.0,267.719829023,3_D,training,01,1_B,33.0,11111,ignore,1.0,900.0,1.16283082445
33,3_36_2,36,2.0,271.719990361,3_D,training,01,1_B,34.0,01011,ignore,1.0,1000.0,1.4497098384
34,3_36_2,36,2.0,276.939003253,3_D,training,01,1_B,35.0,10001,ignore,1.0,1100.0,2.61341960455
35,3_36_2,36,2.0,280.407908587,3_D,training,01,1_B,36.0,11010,ignore,0.0,1000.0,0.92977662319
36,3_36_2,36,2.0,285.423759506,3_D,training,01,1_B,37.0,10011,ignore,1.0,1100.0,2.37446282335
37,3_36_2,36,2.0,291.174047697,3_D,training,01,1_B,38.0,10000,ignore,1.0,1200.0,3.06597769023
38,3_36_2,36,2.0,297.049308177,3_D,training,01,1_B,39.0,10100,ignore,1.0,1300.0,3.30820392104
39,3_36_2,36,2.0,302.565215749,3_D,training,01,1_B,40.0,00100,ignore,1.0,1400.0,2.92475298495
40,3_36_2,36,2.0,306.987289214,3_D,training,01,1_B,41.0,11000,kill,1.0,1500.0,1.88696013439
41,3_36_2,36,2.0,311.284397369,3_D,training,01,1_B,42.0,10111,ignore,1.0,1600.0,1.72429557401
42,3_36_2,36,2.0,315.425205798,3_D,training,01,1_B,43.0,01010,ignore,0.0,1500.0,1.55104840789
43,3_36_2,36,2.0,321.206736856,3_D,training,01,1_B,44.0,00001,ignore,1.0,1600.0,3.21121284922
44,3_36_2,36,2.0,327.519503392,3_D,training,01,1_B,45.0,00101,ignore,1.0,1700.0,3.73702360211
45,3_36_2,36,2.0,331.410328653,3_D,training,01,1_B,46.0,11110,ignore,0.0,1600.0,1.33128547993
46,3_36_2,36,2.0,335.644926031,3_D,training,01,1_B,47.0,11100,ignore,0.0,1500.0,1.69012974345
47,3_36_2,36,2.0,339.473237642,3_D,training,01,1_B,48.0,10110,ignore,1.0,1600.0,1.26362995939
48,3_36_2,36,2.0,345.817268803,3_D,training,01,1_B,49.0,11101,kill,1.0,1700.0,3.78305452969
49,3_36_2,36,2.0,350.301871928,3_D,training,01,1_B,50.0,11001,kill,1.0,1800.0,1.93877499914
50,3_36_2,36,2.0,354.161398901,3_D,training,01,1_B,51.0,00011,ignore,1.0,1900.0,1.2702505538
51,3_36_2,36,2.0,358.286599444,3_D,training,01,1_B,52.0,11011,ignore,1.0,2000.0,1.5710247286
52,3_36_2,36,2.0,362.646203185,3_D,training,01,1_B,53.0,01101,kill,1.0,2100.0,1.71707766051
53,3_36_2,36,2.0,368.677726443,3_D,training,01,1_B,54.0,01110,ignore,0.0,2000.0,3.4528626979
54,3_36_2,36,2.0,373.55294546,3_D,training,01,1_B,55.0,01000,kill,1.0,2100.0,2.26285406038
55,3_36_2,36,2.0,377.443756353,3_D,training,01,1_B,56.0,01100,kill,1.0,2200.0,1.29160830319
56,3_36_2,36,2.0,382.319022581,3_D,training,01,1_B,57.0,00010,ignore,1.0,2300.0,2.23006391109
57,3_36_2,36,2.0,387.381780495,3_D,training,01,1_B,58.0,01111,ignore,1.0,2400.0,2.49804834713
