,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,2_35_2,35,2.0,25.7513949761,2_ND,training,05,1_A,1.0,10011,kill,0.0,0.0,3.28806585207
1,2_35_2,35,2.0,31.8298613563,2_ND,training,05,1_A,2.0,10101,ignore,1.0,100.0,3.4035134678
2,2_35_2,35,2.0,39.0176486237,2_ND,training,05,1_A,3.0,01110,ignore,0.0,0.0,4.48047361861
3,2_35_2,35,2.0,45.0023720341,2_ND,training,05,1_A,4.0,11000,kill,1.0,100.0,3.35626121769
4,2_35_2,35,2.0,50.9714169476,2_ND,training,05,1_A,5.0,10100,kill,0.0,0.0,3.27503444335
5,2_35_2,35,2.0,59.0343017155,2_ND,training,05,1_A,6.0,00011,ignore,1.0,100.0,5.30334983111
6,2_35_2,35,2.0,67.3783944556,2_ND,training,05,1_A,7.0,11010,kill,1.0,200.0,5.63643301569
7,2_35_2,35,2.0,74.300591079,2_ND,training,05,1_A,8.0,10111,ignore,1.0,300.0,4.1023829542
8,2_35_2,35,2.0,78.3476499702,2_ND,training,05,1_A,9.0,00111,kill,0.0,200.0,1.38729143095
9,2_35_2,35,2.0,84.3479393928,2_ND,training,05,1_A,10.0,01001,ignore,1.0,300.0,3.29840378277
10,2_35_2,35,2.0,89.9263347516,2_ND,training,05,1_A,11.0,00001,kill,0.0,200.0,2.88975378138
11,2_35_2,35,2.0,97.0517192116,2_ND,training,05,1_A,12.0,11110,kill,0.0,100.0,4.48319049676
12,2_35_2,35,2.0,104.302025466,2_ND,training,05,1_A,13.0,11100,kill,0.0,0.0,4.59755144334
13,2_35_2,35,2.0,109.177258441,2_ND,training,05,1_A,14.0,10110,kill,0.0,0.0,2.19002095338
14,2_35_2,35,2.0,113.661828724,2_ND,training,05,1_A,15.0,00101,ignore,1.0,100.0,1.80476369154
15,2_35_2,35,2.0,118.630825606,2_ND,training,05,1_A,16.0,01000,ignore,0.0,0.0,2.33261641359
