,unique_id,pair_id,sbj_id,wall_time,condition,block,rule_id,rule_num,trial,stimulus,choice,correct,points,reaction_time
0,2_2_2,2,2.0,318.452839042,2_ND,training,02,1_B,1.0,10111,kill,0.0,0.0,5.61087238343
1,2_2_2,2,2.0,323.15631617,2_ND,training,02,1_B,2.0,00100,ignore,0.0,0.0,2.83235126774
2,2_2_2,2,2.0,332.094292409,2_ND,training,02,1_B,3.0,11101,kill,0.0,0.0,7.13068496349
3,2_2_2,2,2.0,336.891421776,2_ND,training,02,1_B,4.0,01110,ignore,0.0,0.0,3.01449845698
4,2_2_2,2,2.0,342.422939282,2_ND,training,02,1_B,5.0,10000,ignore,0.0,0.0,3.7305220984
5,2_2_2,2,2.0,347.018839174,2_ND,training,02,1_B,6.0,11111,kill,1.0,100.0,2.78458990904
6,2_2_2,2,2.0,351.128392408,2_ND,training,02,1_B,7.0,10110,kill,0.0,0.0,2.28479838148
7,2_2_2,2,2.0,359.347599584,2_ND,training,02,1_B,8.0,10100,ignore,0.0,0.0,6.41331843878
8,2_2_2,2,2.0,363.285279472,2_ND,training,02,1_B,9.0,01011,ignore,0.0,0.0,2.13438967927
9,2_2_2,2,2.0,367.348010756,2_ND,training,02,1_B,10.0,11000,ignore,1.0,100.0,2.26981883423
10,2_2_2,2,2.0,377.864191425,2_ND,training,02,1_B,11.0,10101,kill,1.0,200.0,8.68741865565
11,2_2_2,2,2.0,382.08312887,2_ND,training,02,1_B,12.0,01010,ignore,0.0,100.0,2.41897702249
12,2_2_2,2,2.0,389.364769375,2_ND,training,02,1_B,13.0,11001,ignore,1.0,200.0,5.47020126892
13,2_2_2,2,2.0,401.084124406,2_ND,training,02,1_B,14.0,11110,ignore,0.0,100.0,9.93421892429
14,2_2_2,2,2.0,404.646816241,2_ND,training,02,1_B,15.0,01100,ignore,1.0,200.0,1.77591039918
15,2_2_2,2,2.0,415.037993943,2_ND,training,02,1_B,16.0,10010,kill,0.0,100.0,8.614936634
16,2_2_2,2,2.0,419.678834722,2_ND,training,02,1_B,17.0,11010,kill,1.0,200.0,2.87170701731
17,2_2_2,2,2.0,426.647966367,2_ND,training,02,1_B,18.0,01111,ignore,0.0,100.0,5.18565497874
18,2_2_2,2,2.0,430.085626691,2_ND,training,02,1_B,19.0,00101,ignore,0.0,0.0,1.63647729029
19,2_2_2,2,2.0,433.945208309,2_ND,training,02,1_B,20.0,00110,ignore,1.0,100.0,2.06513192457
20,2_2_2,2,2.0,439.539253117,2_ND,training,02,1_B,21.0,01000,ignore,1.0,200.0,3.82797462922
21,2_2_2,2,2.0,446.539618425,2_ND,training,02,1_B,22.0,10001,kill,1.0,300.0,5.21522791812
22,2_2_2,2,2.0,451.933362904,2_ND,training,02,1_B,23.0,11011,kill,1.0,400.0,3.61865257521
23,2_2_2,2,2.0,457.480435021,2_ND,training,02,1_B,24.0,01001,ignore,1.0,500.0,3.76616607621
